ds,yhat,y_pred_lower,y_pred_upper
2033-10-27 00:00:00,12232.70573969251,12064.784006292779,12400.627473092241
2033-10-28 00:00:00,12210.932056828311,12052.843684806208,12369.020428850414
2033-10-29 00:00:00,12219.192166088596,12048.493402329112,12389.890929848081
2033-10-30 00:00:00,12202.64478852108,12039.262766267642,12366.026810774518
2033-10-31 00:00:00,12174.436711663424,12002.5380382368,12346.335385090048
2033-11-01 00:00:00,12213.915942178912,12049.804785469754,12378.02709888807
2033-11-02 00:00:00,12212.697151181512,12036.320135206231,12389.074167156792
2033-11-03 00:00:00,12212.398651073529,12041.811061937531,12382.986240209526
2033-11-04 00:00:00,12188.35196339689,12021.624480520686,12355.079446273094
2033-11-05 00:00:00,12189.367483846296,12019.853958335545,12358.881009357046
2033-11-06 00:00:00,12161.020368381529,11988.359902590733,12333.680834172324
2033-11-07 00:00:00,12121.495220357408,11962.974459109442,12280.015981605375
2033-11-08 00:00:00,12154.162422051344,11982.304614138528,12326.02022996416
2033-11-09 00:00:00,12149.592139260456,11977.395013112488,12321.789265408424
2033-11-10 00:00:00,12144.711176851362,11982.861904265328,12306.560449437397
2033-11-11 00:00:00,12111.457956596469,11948.430460828647,12274.48545236429
2033-11-12 00:00:00,12100.47978414194,11935.074313451822,12265.88525483206
2033-11-13 00:00:00,12063.290230249133,11896.586209395024,12229.994251103242
2033-11-14 00:00:00,12023.089404542656,11854.380652386808,12191.798156698504
2033-11-15 00:00:00,12062.805446069964,11889.84891873303,12235.761973406898
2033-11-16 00:00:00,12067.099223771715,11898.20637663888,12235.99207090455
2033-11-17 00:00:00,12066.2774366374,11903.290397572873,12229.264475701926
2033-11-18 00:00:00,12029.966892079929,11868.027469616552,12191.906314543305
2033-11-19 00:00:00,12012.352800661143,11844.907711355969,12179.797889966318
2033-11-20 00:00:00,11971.41990919599,11797.231535080356,12145.608283311625
2033-11-21 00:00:00,11935.590333967482,11771.355694255197,12099.824973679768
2033-11-22 00:00:00,11989.497813367625,11823.224141765953,12155.771484969297
2033-11-23 00:00:00,12016.43649913423,11848.014909812631,12184.858088455829
2033-11-24 00:00:00,12043.878705396824,11874.371534596237,12213.385876197412
2033-11-25 00:00:00,12037.378917912109,11872.718633486253,12202.039202337965
2033-11-26 00:00:00,12045.31286184141,11878.555622612581,12212.07010107024
2033-11-27 00:00:00,12018.750051296936,11842.712577387663,12194.78752520621
2033-11-28 00:00:00,11981.394215998092,11812.202349847192,12150.586082148993
2033-11-29 00:00:00,12019.333242582377,11848.180206747913,12190.486278416842
2033-11-30 00:00:00,12024.401850940661,11859.49700989417,12189.306691987153
2033-12-01 00:00:00,12035.833350686169,11874.836254526817,12196.83044684552
2033-12-02 00:00:00,12027.14791792067,11849.911162521264,12204.384673320077
2033-12-03 00:00:00,12046.229379363873,11882.532734125753,12209.926024601993
2033-12-04 00:00:00,12036.411384658923,11874.116750616318,12198.706018701527
2033-12-05 00:00:00,12012.7953554539,11844.564870854541,12181.025840053258
2033-12-06 00:00:00,12058.140012278554,11889.406773246172,12226.873251310937
2033-12-07 00:00:00,12067.183742960993,11903.989544957727,12230.37794096426
2033-12-08 00:00:00,12084.06170323353,11911.74822251017,12256.37518395689
2033-12-09 00:00:00,12083.639719595585,11920.09014612567,12247.1892930655
2033-12-10 00:00:00,12110.17044509302,11939.16119204361,12281.179698142429
2033-12-11 00:00:00,12101.96272435281,11933.997927350209,12269.927521355412
2033-12-12 00:00:00,12072.90808348238,11904.93048106377,12240.88568590099
2033-12-13 00:00:00,12110.003670157475,11935.65589879351,12284.351441521441
2033-12-14 00:00:00,12114.06693877584,11941.699620811021,12286.43425674066
2033-12-15 00:00:00,12131.816851495787,11960.147626517002,12303.486076474572
2033-12-16 00:00:00,12134.60227757331,11966.412696777616,12302.791858369006
2033-12-17 00:00:00,12159.798080263865,11999.820582925,12319.77557760273
2033-12-18 00:00:00,12140.884216989596,11968.798060870911,12312.970373108281
2033-12-19 00:00:00,12092.702934140982,11930.165635499263,12255.2402327827
2033-12-20 00:00:00,12108.110747316008,11937.103923930445,12279.117570701572
2033-12-21 00:00:00,12094.534348842162,11933.559978409437,12255.508719274887
2033-12-22 00:00:00,12102.610696421514,11930.368712817679,12274.85268002535
2033-12-23 00:00:00,12104.064593511794,11932.602938214448,12275.52624880914
2033-12-24 00:00:00,12134.48881995162,11971.94799710306,12297.029642800182
2033-12-25 00:00:00,12124.371914356414,11960.139156777434,12288.604671935394
2033-12-26 00:00:00,12084.103533776111,11919.35460726207,12248.852460290153
2033-12-27 00:00:00,12100.399924545733,11935.642129516502,12265.157719574963
2033-12-28 00:00:00,12074.724375577838,11910.770128806194,12238.678622349482
2033-12-29 00:00:00,12056.08198957449,11895.012692761997,12217.151286386983
2033-12-30 00:00:00,12021.754662136636,11847.54647559129,12195.962848681982
2033-12-31 00:00:00,12018.655984703744,11850.938492713482,12186.373476694007
2034-01-01 00:00:00,11988.265408803521,11827.116178426517,12149.414639180526
2034-01-02 00:00:00,11945.19672784369,11779.28090064328,12111.1125550441
2034-01-03 00:00:00,11971.677606557645,11801.306016396873,12142.049196718417
2034-01-04 00:00:00,11960.118263331226,11788.038327674927,12132.198198987524
2034-01-05 00:00:00,11953.040907289858,11786.833151783141,12119.248662796575
